,timestamp,value
343,2022-04-01,2.39
344,2022-03-31,2.32
345,2022-03-30,2.35
346,2022-03-29,2.41
347,2022-03-28,2.46
348,2022-03-25,2.48
349,2022-03-24,2.34
350,2022-03-23,2.32
351,2022-03-22,2.38
352,2022-03-21,2.32
353,2022-03-18,2.14
354,2022-03-17,2.20
355,2022-03-16,2.19
356,2022-03-15,2.15
357,2022-03-14,2.14
358,2022-03-11,2.00
359,2022-03-10,1.98
360,2022-03-09,1.94
361,2022-03-08,1.86
362,2022-03-07,1.78
363,2022-03-04,1.74
364,2022-03-03,1.86
365,2022-03-02,1.86
366,2022-03-01,1.72
367,2022-02-28,1.83
368,2022-02-25,1.97
369,2022-02-24,1.96
370,2022-02-23,1.99
371,2022-02-22,1.94
372,2022-02-21,.
373,2022-02-18,1.92
374,2022-02-17,1.97
375,2022-02-16,2.03
376,2022-02-15,2.05
377,2022-02-14,1.98
378,2022-02-11,1.92
379,2022-02-10,2.03
380,2022-02-09,1.94
381,2022-02-08,1.96
382,2022-02-07,1.92
383,2022-02-04,1.93
384,2022-02-03,1.82
385,2022-02-02,1.78
386,2022-02-01,1.81
387,2022-01-31,1.79
388,2022-01-28,1.78
389,2022-01-27,1.81
390,2022-01-26,1.85
391,2022-01-25,1.78
392,2022-01-24,1.75
393,2022-01-21,1.75
394,2022-01-20,1.83
395,2022-01-19,1.83
396,2022-01-18,1.87
397,2022-01-17,.
398,2022-01-14,1.78
399,2022-01-13,1.70
400,2022-01-12,1.74
401,2022-01-11,1.75
402,2022-01-10,1.78
403,2022-01-07,1.76
404,2022-01-06,1.73
405,2022-01-05,1.71
406,2022-01-04,1.66
407,2022-01-03,1.63
408,2021-12-31,1.52
409,2021-12-30,1.52
410,2021-12-29,1.55
411,2021-12-28,1.49
412,2021-12-27,1.48
413,2021-12-24,.
414,2021-12-23,1.50
415,2021-12-22,1.46
416,2021-12-21,1.48
417,2021-12-20,1.43
418,2021-12-17,1.41
419,2021-12-16,1.44
420,2021-12-15,1.47
421,2021-12-14,1.44
422,2021-12-13,1.42
423,2021-12-10,1.48
424,2021-12-09,1.49
425,2021-12-08,1.52
426,2021-12-07,1.48
427,2021-12-06,1.43
428,2021-12-03,1.35
429,2021-12-02,1.44
430,2021-12-01,1.43
431,2021-11-30,1.43
432,2021-11-29,1.52
433,2021-11-26,1.48
434,2021-11-25,.
435,2021-11-24,1.64
436,2021-11-23,1.67
437,2021-11-22,1.63
438,2021-11-19,1.54
439,2021-11-18,1.59
440,2021-11-17,1.60
441,2021-11-16,1.63
442,2021-11-15,1.63
443,2021-11-12,1.58
444,2021-11-11,.
445,2021-11-10,1.56
446,2021-11-09,1.46
447,2021-11-08,1.51
448,2021-11-05,1.45
449,2021-11-04,1.53
450,2021-11-03,1.60
451,2021-11-02,1.56
452,2021-11-01,1.58
453,2021-10-29,1.55
454,2021-10-28,1.57
455,2021-10-27,1.54
456,2021-10-26,1.63
457,2021-10-25,1.64
458,2021-10-22,1.66
459,2021-10-21,1.68
460,2021-10-20,1.65
461,2021-10-19,1.65
462,2021-10-18,1.59
463,2021-10-15,1.59
464,2021-10-14,1.52
465,2021-10-13,1.56
466,2021-10-12,1.59
467,2021-10-11,.
468,2021-10-08,1.61
469,2021-10-07,1.58
470,2021-10-06,1.53
471,2021-10-05,1.54
472,2021-10-04,1.49
473,2021-10-01,1.48
474,2021-09-30,1.52
475,2021-09-29,1.55
476,2021-09-28,1.54
477,2021-09-27,1.48
478,2021-09-24,1.47
479,2021-09-23,1.41
480,2021-09-22,1.32
481,2021-09-21,1.33
482,2021-09-20,1.31
483,2021-09-17,1.37
484,2021-09-16,1.34
485,2021-09-15,1.31
486,2021-09-14,1.28
487,2021-09-13,1.33
488,2021-09-10,1.35
489,2021-09-09,1.30
490,2021-09-08,1.35
491,2021-09-07,1.38
492,2021-09-06,.
493,2021-09-03,1.33
494,2021-09-02,1.29
495,2021-09-01,1.31
496,2021-08-31,1.30
497,2021-08-30,1.29
498,2021-08-27,1.31
499,2021-08-26,1.34
500,2021-08-25,1.35
501,2021-08-24,1.29
502,2021-08-23,1.25
503,2021-08-20,1.26
504,2021-08-19,1.24
505,2021-08-18,1.27
506,2021-08-17,1.26
507,2021-08-16,1.26
508,2021-08-13,1.29
509,2021-08-12,1.36
510,2021-08-11,1.35
511,2021-08-10,1.36
512,2021-08-09,1.33
513,2021-08-06,1.31
514,2021-08-05,1.23
515,2021-08-04,1.19
516,2021-08-03,1.19
517,2021-08-02,1.20
518,2021-07-30,1.24
519,2021-07-29,1.28
520,2021-07-28,1.26
521,2021-07-27,1.25
522,2021-07-26,1.29
523,2021-07-23,1.30
524,2021-07-22,1.27
525,2021-07-21,1.30
526,2021-07-20,1.23
527,2021-07-19,1.19
528,2021-07-16,1.31
529,2021-07-15,1.31
530,2021-07-14,1.37
531,2021-07-13,1.42
532,2021-07-12,1.38
533,2021-07-09,1.37
534,2021-07-08,1.30
535,2021-07-07,1.33
536,2021-07-06,1.37
537,2021-07-05,.
538,2021-07-02,1.44
539,2021-07-01,1.48
540,2021-06-30,1.45
541,2021-06-29,1.49
542,2021-06-28,1.49
543,2021-06-25,1.54
544,2021-06-24,1.49
545,2021-06-23,1.50
546,2021-06-22,1.48
547,2021-06-21,1.50
548,2021-06-18,1.45
549,2021-06-17,1.52
550,2021-06-16,1.57
