,Date,QCOM,TSLA,NVDA,TAIT,INTC,AUDC,OLED,CSCO,MSFT,AAPL,ALOT,GRMN,ESLT,TXN,EQIX,CDW,AVGO,INTU,SPNS,BRKR,IDCC,MNDO,EBIX,WSTG,CDK,WDC,ATVI,MKSI,TER,ADI,CCMP,MGIC,LOGI,APWC,SWKS
0,2022-04-01,146.99,1084.59,267.12,3.86,48.11,25.34,167.39,55.66,309.42,174.31,15.11,116.11,219.97,182.08,763.0,177.8,626.98,483.93,25.91,64.99,64.63,2.94,33.0,34.09,49.08,48.39,80.82,141.21,116.37,165.36,183.05,17.52,71.44,1.81,132.03
1,2022-03-31,152.82,1077.6,272.86,3.91,49.56,25.55,166.95,55.76,308.31,174.61,15.17,118.61,220.45,183.48,741.62,178.89,629.68,480.84,25.39,64.3,63.8,2.93,33.15,34.55,48.68,49.65,80.11,150.0,118.23,165.18,185.4,17.23,73.78,1.82,133.28
2,2022-03-30,152.73,1093.99,276.9,3.91,51.43,25.63,169.62,56.05,313.86,177.77,15.0,120.29,225.58,187.45,753.81,178.82,631.09,471.95,25.63,67.67,63.52,2.92,35.56,34.7,49.05,50.62,80.36,156.46,121.03,166.48,187.27,17.77,76.3,1.82,136.4
3,2022-03-29,161.07,1099.57,286.56,3.82,52.25,26.36,175.55,55.67,315.41,178.96,15.14,121.39,217.6,191.01,761.38,180.96,641.47,485.36,26.41,68.18,65.79,2.93,37.59,33.23,49.26,51.89,80.75,163.72,125.37,170.18,189.62,18.08,78.04,1.89,140.29
4,2022-03-28,158.45,1091.84,282.19,3.89,51.51,25.93,169.73,55.14,310.7,175.6,15.21,118.87,236.82,185.68,730.92,177.31,632.88,480.5,25.48,65.27,64.39,2.93,34.8,32.29,48.21,50.7,80.01,156.06,122.96,167.26,188.25,17.87,77.51,1.8899,137.06
5,2022-03-25,157.97,1010.64,276.92,3.87,51.83,26.22,168.7,54.97,303.68,174.72,14.8899,116.57,233.73,184.9,710.14,176.15,628.87,459.35,25.94,65.37,64.85,2.92,34.93,32.89,48.31,50.81,79.6,155.61,124.04,165.63,188.02,18.13,76.81,1.85,138.0
6,2022-03-24,158.46,1013.92,281.5,3.8908,51.62,26.65,169.35,54.5,304.1,174.07,14.6,116.82,230.75,184.21,711.63,175.84,626.43,465.63,25.89,65.82,64.88,2.92,35.52,32.5,47.09,50.5,79.62,154.75,122.69,164.96,187.48,18.41,77.32,1.93,138.43
7,2022-03-23,152.87,999.11,256.34,3.85,48.27,26.91,162.56,54.48,299.49,170.21,14.6002,115.87,228.28,179.08,707.82,174.53,599.38,461.44,25.94,64.67,64.16,2.94,35.95,33.68,46.2,48.68,79.07,148.53,116.51,159.14,185.57,18.24,71.86,1.91,133.3
8,2022-03-22,157.61,993.98,265.24,3.8401,48.39,27.29,165.97,56.17,304.06,168.82,14.94,118.54,229.61,182.35,719.1,178.15,611.34,475.99,26.39,67.85,65.34,3.22,36.18,34.43,47.29,49.73,79.3,152.54,121.0,164.77,187.08,18.55,74.11,1.9499,137.52
9,2022-03-21,155.59,921.16,267.34,3.85,47.39,27.24,164.62,56.0,299.16,165.38,14.8,116.7,225.01,180.46,717.75,178.79,601.29,466.5,26.26,67.56,65.0,3.11,34.87,34.28,47.78,48.95,78.84,152.62,120.94,164.22,187.35,18.37,73.56,1.81,134.54
