,alpha,beta,r-squared,share_ratio,treynor_ratio,f_test,1 Year,2 Year,3 Year,YTD
MSFT,14.897755049105069,1.145867868571824,72.18979164736692,0.9921029017478814,0.2962825866889614,1965.0220373801226,25.24294671448757,43.930998781470024,38.95006961042269,-7.807880720960492
TXN,2.91996521091405,1.1511469011025297,63.81255123537915,0.5701626896856562,0.14734585119853064,1334.8855178873273,-5.327110386685274,40.68794046362287,21.961671999750298,-2.76379765354946
AAPL,26.377838186025013,1.1701890995857394,63.21833508238779,1.2574367395776982,0.4297350008431288,1301.0906321005734,39.273351241405344,71.28648566401125,55.287121369709794,-1.710621018113312
AVGO,7.85050923283832,1.3230161708966879,62.03060318536087,0.6782039325300091,0.20233610505763666,1236.7108922102707,32.016923984978504,72.8707196110701,31.769393894750444,-5.1328997589234255
INTU,0.15679492105704895,1.2441892654771518,61.5817677413958,0.4780556751210752,0.14401996724891122,1213.4186150586386,20.947099379799262,49.86219570610984,22.91880972654663,-24.674325742473123
CDW,2.1030866185968797,1.2157336369462117,61.455321486479185,0.5321024582941435,0.1486395681552979,1206.954634449623,4.682810890298694,43.05363648049503,23.070612278755465,-12.921685436685715
NVDA,37.29232805333204,1.55325734821904,52.21128993213878,1.1887362303005249,0.4869817190664537,827.056148251418,91.10451537054378,109.87752157125081,80.64079335883095,-9.161838901452757
BRKR,0.5301269507612378,1.1264707963052765,46.31854207238741,0.4247729673772161,0.12473641087812165,653.1703441452462,-3.4603981988118093,43.901880948383635,19.051192409013986,-22.49293606447167
TER,15.960898214344375,1.3913297902627524,45.44329461256423,0.7424169881241899,0.2614164974238484,630.54713031908,-12.00993823700368,49.95894330721187,41.37165605319464,-28.77126468411366
EQIX,3.8095960381492926,0.8001475765028506,36.59477922590256,0.49014423832252496,0.19545456502895128,436.90799489062385,12.252174261142423,14.94818313873032,20.63924965243342,-9.405922329486172
MGIC,13.907092087390986,0.8844146467768188,29.41473872175387,0.6973550542941082,0.2865489583165151,315.46185151304655,15.015509704180662,56.34243589142809,30.342809575376606,-15.301129076872598
LOGI,10.515645602476166,0.7955041593598943,23.33355174794104,0.5685975963433528,0.22463907360905658,230.3941173212885,-34.06779390242334,30.66972082089665,22.870131741075795,-13.38506304558682
TSLA,74.36346981581308,1.4060702417270523,22.578922028003486,1.3769404084186474,1.1427460083846823,220.7699043066924,56.94812242240066,235.57731681302855,165.67811562420744,2.6315789473684514
AUDC,7.15218892759351,0.9237258345405532,19.170145881765567,0.41138004121920213,0.1894611243547063,179.5351555536559,-9.358803016014006,5.523706269799966,22.501013520754263,-26.589234312032282
ATVI,7.579045833129777,0.635935022375357,16.985490516862185,0.46186935294367604,0.2383086912202285,154.8887827118516,-17.019661197404822,19.228714871438402,20.154884288337804,21.47903201563215
