Ticker,?,?,,shape,treynor,,1 Year,2 Year,3 Year,YTD
MSFT,15.37327847,1.146385832,72.22172555,1.035689471,0.296125179,1968.151274,25.2420378,43.93035963,38.94737096,-7.808102243
TXN,2.229936612,1.152751773,63.84942759,0.576697897,0.147027253,1337.019401,-5.31323069,40.67222171,21.94859262,-2.750695703
AAPL,26.13935943,1.170133045,63.27466888,1.276991119,0.429726988,1304.247583,39.2740415,71.28812117,55.28377491,-1.710831307
AVGO,7.490602507,1.321000659,61.95519413,0.695427251,0.2025826,1232.759135,32.02633885,72.86946817,31.76117475,-5.13821874
CDW,2.241751203,1.214095183,61.37875002,0.562444065,0.148836065,1203.060848,4.689683786,43.07337103,23.07011496,-12.91762513
INTU,1.764917672,1.242340142,61.09140731,0.546713251,0.144850541,1188.58566,20.94610508,49.99954596,22.99536423,-24.67711574
NVDA,35.62619637,1.552887626,52.16738475,1.178369225,0.487092706,825.6021557,91.10390768,109.8805785,80.64002351,-9.161358831
BRKR,0.132024592,1.13178615,46.40707192,0.438028925,0.124127903,655.4997964,-3.463359767,43.89691324,19.04862416,-22.49352761
TER,13.49198059,1.391579719,45.42685485,0.712966925,0.261379207,630.1291419,-12.01258452,49.96327159,41.37300038,-28.77296643
QCOM,14.05022065,1.278892899,44.11379413,0.739714859,0.272297794,597.5381873,6.613507129,52.34928083,39.82397151,-19.28518678
EQIX,6.285665628,0.804311759,36.62677091,0.590909443,0.194477821,437.5106963,12.26003179,14.95073451,20.64207982,-9.404192862
SPNS,3.529549871,1.003581157,32.91685561,0.453394518,0.158020241,371.4503832,-19.41524914,22.0923239,20.85861358,-24.78955218
MGIC,13.20044966,0.886131825,29.4813946,0.696666484,0.291683765,316.4755682,15.01593916,57.25109001,30.84702669,-15.30620976
ESLT,8.027044621,0.645171517,24.27334899,0.579763424,0.231208225,242.6480629,55.22567124,35.96201417,19.9168961,26.32515652
LOGI,8.501411484,0.797467942,23.3675704,0.531554823,0.228482503,230.8324411,-34.10850744,30.84911775,23.22074717,-13.38506361
TSLA,76.3528081,1.407026162,22.58922138,1.420135099,1.141969633,220.8999947,56.94812025,235.5773177,165.6781151,2.631572868
AUDC,7.171981705,0.923773158,19.19013547,0.426750296,0.204346753,179.7668222,-8.268921256,6.647032111,23.87700452,-26.10931484
ATVI,8.371307891,0.635437434,17.00525973,0.498342386,0.238544583,155.1059932,-17.02123043,19.23337475,20.15801575,21.47903379
